"boro_ct201","n_bldgs","res_units","res_area"
3013600,591,1696,1761916
3013700,447,1698,1420573
3013800,460,1377,1415737
3013900,507,1668,1448477
3014000,377,835,922244
3014100,445,1767,1633244
3014200,320,1419,1368408
3014300,520,1717,1296136
3014500,556,1839,1503725
3014700,293,998,756148
3014800,332,539,611697
3014900,805,2446,2020523
3015000,363,714,641413
3015100,523,1739,1703104
3015200,412,912,843051
3015300,407,1393,1182500
3015400,2,0,0
3015500,418,1641,1697851
3015700,474,2222,2223424
3015900,522,2806,2923095
3016000,421,1805,1556264
3016100,382,1679,1690957
3016200,254,1270,969068
3016300,365,1998,1960527
3016400,13,522,779078
3016500,536,2573,3261133
3016600,610,798,1116004
3016700,521,2359,2081671
3016800,291,742,656227
3016900,609,2204,1923848
3017000,564,1223,1110632
3017100,622,1752,1699633
3017200,552,1127,964855
3017400,409,744,652076
3017500,1,0,6525
3017600,232,918,773350
3017700,10,0,0
3017800,329,929,889821
3017900,291,1481,1572913
3018000,421,1042,903570
3018100,478,2342,1965740
3018200,472,1181,946850
3018300,341,1374,1351425
3018400,461,921,720240
3018501,62,1272,1246421
3018600,346,771,723783
3018700,183,624,565649
3018800,442,955,1017325
3019000,506,1596,1502502
3019100,438,1512,1327761
3019200,382,802,792862
3019300,76,2612,2807294
3019400,370,1072,916895
3019500,245,1894,1993217
3019600,510,1549,1299442
3019700,328,1839,1900388
3019800,368,698,699705
3019900,296,2300,2031300
3020000,442,775,794793
3020100,511,2104,1892230
3020200,456,733,773044
3020300,319,895,912101
3020400,464,701,803693
3020500,357,1608,1435066
3020600,444,822,949006
3020700,280,2280,2268115
3020800,454,1064,1035104
3021000,435,1339,1208873
3021100,241,999,942507
3021200,458,1368,1171732
3021300,83,1858,1821042
3021400,278,593,614213
3021500,159,2702,2640083
3021600,432,1077,1429696
3021700,175,1924,1569666
3021800,477,1189,1277781
3021900,355,1973,1710872
3022000,488,1446,1687389
3022100,356,1721,1414607
3022200,435,1522,1781901
3022400,485,1543,1681863
3022600,301,680,610968
3022700,495,2219,1908675
3022800,334,870,872544
3022900,507,1798,1553384
3023000,409,1205,1223770
3023100,363,1688,1601922
3023200,649,1765,2077698
3023300,392,2277,2133965
3023400,391,1636,2142759
3023500,276,1675,1785205
3023600,347,1798,2352494
3023800,406,1532,1955098
3024000,404,1494,1871831
3024100,279,1472,1235716
3024200,405,1001,1370671
3024300,471,1900,1671291
3024400,462,1002,1111832
3024500,540,1812,1628442
3024600,515,1022,1078328
3024700,279,1171,1036832
3024800,427,862,782854
3024900,514,1793,1587741
3025000,298,525,441144
3025100,331,1587,1377511
3025200,485,1828,1622538
3025300,405,1428,1259932
3025400,479,1155,1103848
3025500,3,1372,1600192
3025600,470,1038,993110
3025700,269,909,912420
3025800,450,1625,1566756
3025901,159,721,660476
3025902,1,1046,8e+05
3026000,492,1192,1121402
3026100,577,2556,2309318
3026200,446,848,837228
3026300,243,858,719082
3026400,549,1635,1400293
3026500,451,1632,1509776
3026600,487,1183,1156345
3026700,574,1808,1576993
3026800,460,1499,1539781
3026900,349,1292,1131853
3027000,257,928,1009030
3027100,371,1446,1432553
3027200,322,1221,1239650
3027300,319,1340,1309723
3027400,408,1037,1039396
3027500,524,1641,1453162
3027600,348,1227,1081024
3027700,337,1640,1464000
3027800,295,1227,1178942
3027900,535,1589,1371904
3028000,260,683,529873
3028100,281,1962,2333038
3028200,366,1269,1062744
3028300,259,1628,1462197
3028400,356,1428,1396324
3028501,48,286,183991
3028502,4,1613,1354815
3028600,213,2096,1738034
3028700,298,2850,1283311
3028800,327,1226,1213067
3028900,410,1821,1338595
3029000,276,1596,1614591
3029100,438,1422,1192391
3029200,184,1013,1032011
3029300,337,1406,1267645
3029400,123,611,539803
3029500,599,1750,1517460
3029600,401,2264,2274876
3029700,530,1431,1315970
3029800,469,1297,1264269
3029900,309,939,889596
3030000,483,1359,1229521
3030100,515,1088,912722
3030200,606,1511,1231750
3030300,433,2512,1816614
3030400,492,1622,1413479
3030500,500,4064,2738312
3030600,342,740,660253
3030700,389,2266,1879869
3030800,292,865,912738
3030900,246,811,713162
3031100,364,1250,1106727
3031300,377,2183,2081506
3031400,533,2115,2207829
3031500,387,2585,2188246
3031701,314,1681,1659316
3031702,370,1583,1368524
3031900,245,1401,1414734
3032100,230,2282,2273356
3032300,290,1441,1455323
3032500,125,2521,2535655
3032600,501,2460,2388540
3032700,272,1460,1404421
3032800,576,1079,1068821
3032900,272,2371,2317213
3033000,113,1808,1511892
3033100,268,1510,1596930
3033300,394,1336,1697653
3033500,452,904,1344423
3033600,976,1968,2073141
3033700,422,1563,1741165
3033900,466,1931,1969160
3034000,23,545,453392
3034100,155,1026,1171822
3034200,75,3342,3226778
3034300,257,2031,1862619
3034500,350,1030,942724
3034700,225,1530,1354947
3034800,420,878,729502
3034900,298,2143,2030902
3035000,32,1768,1736700
3035100,312,1821,1736506
3035200,124,519,373812
3035300,327,1959,1909174
3035400,22,2916,3094753
