"lon","lat","boro_ct201","avg_price_1y","sd_price_1y","med_price_1y","n_sales_1y","avg_price_3y","sd_price_3y","med_price_3y","n_sales_3y","avg_price_5y","sd_price_5y","med_price_5y","n_sales_5y","year","n_bldgs","res_units","res_area","bldg_age"
-74.0110215,40.62201998,"3020200",571.635111812627,220.957114216122,660.144927536232,18,561.891154700125,202.863646938221,617.059891107078,47,509.774901430149,186.369212181705,515.468227424749,80,2017,456,733,773044,87.9254385964912
-74.02686708,40.61898277,"3016000",401.478712656766,166.749807988914,356.268545994065,18,344.787754557626,168.660552618345,294.382908694021,58,315.284222027516,153.797583701907,273.584905660377,105,2017,421,1805,1556264,86.8248175182482
-74.0157818,40.60425634,"3016800",514.352463188042,136.452830101796,512.664907651715,19,405.569578544672,145.632281951348,364.168865435356,71,380.215820812707,135.087629693143,343.630448548813,117,2017,291,742,656227,66.808362369338
-73.8186162,40.82485811,"2015800",252.047019410407,128.061779752791,248.488918737408,11,248.972990191716,107.975441001954,217.08331665399,28,248.068944990903,103.636267178928,211.361361361361,37,2017,262,570,563928,66.2980392156863
-73.98685119,40.72101439,"1003001",932.78304288492,371.476959533846,991.932655654384,9,1126.60347233894,449.675800414335,1152.7503030303,39,1017.40243082081,423.033335468842,1016.83501683502,65,2017,216,2889,1811929,98.580487804878
-73.98729697,40.74179153,"1005600",1641.24798537586,769.213081193685,1810.41697027508,72,1903.76828735105,714.305769463227,1978.9362298297,276,1983.59315938515,1260.1997701564,1897.6897689769,547,2017,89,2407,2569593,95.5056179775281
-73.82492611,40.82633859,"2015200",293.698682873841,94.1773813152316,278.72582480091,31,271.864817415096,83.3295060838222,269.993164730007,71,254.104002766631,87.3025803553776,258.95849656133,104,2017,528,883,770338,73.4577603143418
-73.95926168,40.59853946,"3058200",515.577266821917,178.426305357484,522.766090485243,6,434.527544398278,170.052306018509,460.130217731264,22,398.137355282965,153.432815051864,412.791259982254,42,2017,368,1057,1071081,84.6082191780822
-73.96007166,40.60787053,"3055400",327.031660969598,155.586196941694,275.757575757576,17,345.564909298229,129.506357412343,358.660998937301,39,324.15498925242,130.069556273703,323.464912280702,64,2017,315,1810,1776546,86.0645161290323
-73.95940577,40.60316107,"3055600",452.70845322822,252.366280159811,369.274341560079,16,357.655819268789,209.881515554537,272.523674242424,59,332.989860148028,187.879907446658,272.372948232323,110,2017,395,1411,1632579,82.8132992327366
-73.95901732,40.67277395,"3021700",1068.26221142235,299.320701599192,1031.74603174603,13,996.397119553431,365.688124352329,1029.2572972973,39,670.564635851554,387.034353499045,648.587913519146,126,2017,175,1924,1569666,99.210843373494
-73.93847493,40.64154935,"3083400",347.590942624868,110.576334841408,342.987804878049,17,306.745725883421,108.219046653471,316.772788203753,32,286.261825363246,101.006452469273,257.563920454545,43,2017,409,541,565749,88.2920792079208
-73.94254939,40.64467252,"3085400",318.369357708932,140.671176897047,287.262872628726,11,299.976126181863,121.074981859075,252.403846153846,39,277.387149856755,112.934595999516,240,59,2017,381,744,605042,87.1164021164021
-73.79036522,40.6703299,"4078800",342.653277936133,114.013416462066,327.127496159754,26,302.29974326361,104.410608583577,292.670265780731,72,282.023320668449,99.9926902978343,263.584752635848,103,2017,472,555,541207,81.0911161731207
