"boro_ct201","violation_rate","felony_rate","misdemeanor_rate"
"2046201",7.97352188957424,10.6815104558447,28.6971566120054
"2046202",10.3902380089404,19.572308807539,36.003382868189
"2048400",16.9538632573652,27.7932184546971,53.6409116175653
"2050400",0,0,0
"2051600",10.77487391105,7.10683172856488,19.2572214580468
"3000100",3.68833563854311,6.91562932226833,12.448132780083
"3000200",13.6054421768707,46.2585034013605,119.727891156463
"3000301",1.40878140408547,9.62667292791735,5.63512561634186
"3000501",3.06098422415823,4.23828584883447,4.94466682364022
"3000502",6.36942675159236,16.3216560509554,25.0796178343949
"3000700",5.35873771955939,13.6945519499851,14.587674903245
"3000900",17.2579098753595,34.2761265580057,52.2531160115053
"3001100",0,0,0
"3001300",11.8681318681319,23.2967032967033,50.1098901098901
"3001500",34.3652371485373,76.9667708037489,248.792956546436
"3001800",9.50118764845606,49.4061757719715,95.4869358669834
"3002000",7.17703349282297,26.3157894736842,35.8851674641148
"3002100",19.4228634850166,46.61487236404,62.4306326304107
"3002200",11.2724907869066,17.1255148493388,37.2859310643833
"3002300",10.1247939722157,13.4212385213092,21.6623498940429
"3002901",25.7924176507147,23.6171535114978,49.7203231821007
"3003000",3.46820809248555,11.5606936416185,27.7456647398844
"3003100",10.9223300970874,24.2718446601942,32.7669902912621
"3003300",18.9084658358401,52.8577567683713,115.169746454663
"3003400",5.25106662290778,11.158516573679,27.5680997702658
"3003500",41.1840411840412,100.3861003861,370.01287001287
"3003600",7.36067297581493,7.36067297581493,13.4069400630915
"3003700",0,0,0
"3003800",3.33778371161549,4.67289719626168,10.6809078771696
"3003900",24.2261103633917,18.842530282638,35.8905338716913
"3004100",7.5041689827682,15.0083379655364,19.177320733741
"3004300",3.65691489361702,25.9308510638298,30.2526595744681
"3004400",4.66299279355659,11.8694362017804,32.2170411191183
"3004500",3.30827067669173,11.7293233082707,13.5338345864662
"3004600",6.67222685571309,19.1826522101751,55.8798999165972
"3004700",8.99653979238754,16.6089965397924,38.0622837370242
"3004900",0.794912559618442,8.34658187599364,10.3338632750397
"3005000",3.51493848857645,9.22671353251318,16.2565905096661
"3005100",2.76370336250576,14.7397512666974,28.5582680792262
"3005201",1.64024056861673,4.92072170585019,7.1077091306725
"3005202",1.61225312374043,10.4796453043128,8.86739218057235
"3005300",14.8305084745763,57.2033898305085,84.2161016949153
"3005400",4.77859190825104,8.28289264096846,23.2558139534884
"3005601",3.59281437125748,7.58483033932136,8.78243512974052
"3005602",7.56620428751576,21.437578814628,52.9634300126103
"3005800",10.1522842639594,11.738578680203,32.0431472081218
"3005900",11.5606936416185,41.9075144508671,69.364161849711
"3006000",9.2002830856334,15.9235668789809,18.4005661712668
"3006200",9.11321416053277,17.1749036102348,28.0406589554855
"3006300",4.22832980972516,14.7991543340381,37.5264270613108
"3006400",14.3760782058654,11.213341000575,18.4013801035078
"3006500",3.27489886341745,15.2186476594105,22.7316509343094
"3006600",5.46000546000546,7.37100737100737,22.1130221130221
"3006700",3.02938503483793,7.87640109057861,10.299909118449
"3006800",7.39219712525667,17.864476386037,25.4620123203285
"3006900",7.63358778625954,19.5080576759966,37.8852134577325
"3007000",5.11945392491468,27.7303754266212,86.6040955631399
"3007100",8.67630700778643,20.0222469410456,37.5973303670745
"3007200",5.13874614594039,7.70811921891059,48.3042137718397
"3007400",6.97119794533113,26.6006237387635,27.8847917813245
"3007500",1.82523385808807,14.3737166324435,16.6552589550536
"3007600",7.02629193109701,13.599274705349,26.0652765185857
"3007700",2.56344527044348,20.7639066905922,29.9923096641887
"3007800",7.49802683504341,13.2202052091555,28.8082083662194
"3008000",6.9561045814344,11.51355241065,24.7061645478532
"3008200",2.89785076068582,14.7307413668196,21.4923931417532
"3008400",11.2155198545014,19.7029402849348,49.1057896332222
"3008500",7.61932144910868,23.8642898217366,50.1725129384704
"3008600",0,0,0
"3008800",4.67726847521048,12.784533832242,15.5908949173683
"3009000",4.34201736806947,13.0260521042084,16.3660654642619
"3009200",2.78396436525612,5.56792873051225,8.16629547141797
"3009400",3.27304048234281,8.95779500430663,11.1972437553833
"3009600",2.12210251387529,7.18250081619327,10.120796604636
"3009800",3.2744874715262,8.68451025056948,14.379271070615
"3010000",2.82024640047499,10.9841175597447,13.5074959180644
"3010100",10.9943806498901,22.2330808697777,53.2616662594674
"3010200",3.02383493418712,9.07150480256137,11.3838491639986
"3010400",2.3696682464455,11.8483412322275,17.0954637779282
"3010600",1.70910955392241,11.1092121004956,13.501965475987
"3010800",1.89393939393939,13.4469696969697,13.2575757575758
