gid,boro_ct201,total_population,MRR2010,MRR20pctthreshold,strategy_code,race_total,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_hispanic,language_total_pop,Total 5+,Speak only English,Speak a Language Other than English at Home,Spanish,French (incl. Cajun),Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,"Persian (incl. Farsi, Dari)",Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages","Chinese (incl. Mandarin, Cantonese)",Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog (incl. Filipino),"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages,foreign_born_total,foreign_born_native,foreign_born_foreign,own_vs_rent_total,own_vs_rent_owner,own_vs_rent_rent,hosehold_size_total,household_size_owner_occupied,household_size_renter_occupied,internet_total,internet_subscription,internet_no_subscription,internet_no_access,age_total,age_less_5,age_6_15,age_16_64,age_64_over,median_income,pc_below_poverty,income_houses_total,homes_below_poverty,english_total_households,english_english,english_spanish,english_european,english_asian,english_other,bilingual,Geographic Area Name,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years,hearing_difficulty,vision_difficulty,cognative_difficulty,ambulatory_difficulty,self_care_difficulty,independent_living_difficulty,resp_2010,CRRALL,CRRINT,DRRALL,DRRINT,HISTORIC_RESP_RATE,county,boro_number,diff_2020_2010
36081066400,4066400,9252,60.9,1,2,9252,402,7848,0,200,0,0,651,9266,8695,6765,2240,1050,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,65,9252,5300,3952,2876,1411,1465,3.21,3.63,2.8,2876,2621,0,255,9252,529,752,7208,1050,85463,11.6,2876,333.616,2876,2792,0,53,0,31,655,"Census Tract 664, Queens County, New York",6563,6563,6563,6563,6563,6563,6563,6563,6563,6563,6563,6563,55.76511,37.52732,24.45581,0.28942,0.20959,47.973,81,4,18.23779
36081069000,4069000,3499,60.4,1,2,3499,94,3224,0,40,51,0,3,3489,3225,2840,420,60,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,3499,1772,1727,977,491,486,3.57,3.77,3.38,977,769,0,208,3499,242,410,2406,573,78674,9.2,977,89.884,977,965,0,12,0,0,227,"Census Tract 690, Queens County, New York",2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,54.5,37.9,23.5,0.5,0.2,47,81,4,16.6
36081069702,4069702,3436,76.4,0,0,3436,1567,22,0,1489,0,10,299,3402,3225,955,2965,140,0,0,25,0,35,0,0,600,170,0,0,60,0,0,0,0,0,0,100,0,0,0,0,1215,0,235,0,0,0,0,160,65,0,60,45,0,0,0,0,0,55,3436,1452,1984,1439,1043,396,2.38,2.53,1.97,1439,1164,10,265,3436,152,306,2265,883,80452,14.8,1439,212.972,1439,1192,23,21,192,11,820,"Census Tract 697.02, Queens County, New York",1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,67,53.4,46.1,0.1,0,64,81,4,13.6
36081071900,4071900,2287,66,1,0,2287,1276,127,0,517,0,0,300,2321,2210,440,2585,505,0,0,0,0,0,0,0,1150,0,30,0,0,135,0,0,0,0,0,0,40,0,0,0,665,0,0,0,0,0,0,145,0,0,0,50,0,0,0,0,0,0,2287,674,1613,984,291,693,2.32,2.55,2.23,984,784,25,175,2287,82,71,1667,484,39878,38.6,984,379.824,984,619,62,169,106,28,420,"Census Tract 719, Queens County, New York",1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,59.3,44.1,38.3,0.2,0.1,54.116,81,4,15.2
36081076902,4076902,1251,79.1,0,0,1251,585,29,0,319,0,0,293,1221,1135,570,640,250,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,120,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,664,587,639,126,513,1.96,2.71,1.77,639,543,19,77,1251,90,55,905,220,67292,21.4,639,136.746,639,558,38,21,16,6,281,"Census Tract 769.02, Queens County, New York",833,833,833,833,833,833,833,833,833,833,833,833,73,58.2,53.4,0,0,70,81,4,14.8
36081079000,4079000,2864,57.8,1,0,2864,9,1708,21,381,0,227,378,2884,2685,2120,720,485,0,70,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,25,2864,1540,1324,786,465,321,3.62,3.61,3.64,786,649,11,126,2864,214,371,2200,239,71250,16.2,786,127.332,786,756,19,11,0,0,155,"Census Tract 790, Queens County, New York",1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,50.8,39.7,34.6,0.1,0,46,81,4,11.1
36081081800,4081800,4547,58.9,1,0,4547,217,927,0,913,0,537,1807,3908,3755,2435,1700,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,65,0,0,20,0,0,0,0,0,90,0,0,0,0,0,0,85,4547,2537,2010,1043,663,380,4.35,4.8,3.57,1043,857,0,186,4547,262,671,3519,586,57482,16,1043,166.88,1043,1004,8,31,0,0,454,"Census Tract 818, Queens County, New York",2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,50.3,36,30.1,0.2,0.2,43,81,4,14.3
36081092500,4092500,3926,64.8,1,3,3926,688,127,0,1340,0,18,1739,3906,3665,985,4170,2125,0,0,0,30,0,0,55,95,0,0,55,0,65,0,0,0,0,0,280,0,0,0,0,1130,0,300,0,0,0,0,35,65,0,0,0,0,0,0,0,0,0,3926,1886,2040,1126,379,747,3.48,3.81,3.32,1126,786,37,303,3926,365,355,2835,573,51250,23.4,1126,263.484,1126,654,230,95,147,0,347,"Census Tract 925, Queens County, New York",2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,57.3,37.6,25.2,0.1,0.1,52,81,4,19.7
36081083800,4083800,5617,65.8,1,2,5617,522,449,61,2378,0,288,1717,5705,5505,3365,2700,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,700,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5617,2885,2732,1591,1093,498,3.53,3.86,2.81,1591,1433,8,150,5617,216,484,4568,613,98079,11.7,1591,186.147,1591,1443,40,47,61,0,612,"Census Tract 838, Queens County, New York",3989,3989,3989,3989,3989,3989,3989,3989,3989,3989,3989,3989,57.6,43.3,26.5,0.3,0.1,49,81,4,14.3
36081084000,4084000,6399,63.5,1,2,6399,300,1091,20,2721,0,762,1113,6500,6140,4330,2180,925,140,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,870,0,0,0,45,0,0,0,0,0,0,0,0,0,50,90,0,0,0,0,0,0,0,0,0,6399,2720,3679,1807,1207,600,3.54,3.78,3.06,1807,1527,39,241,6399,324,740,4839,862,65250,16.6,1807,299.962,1807,1716,67,24,0,0,461,"Census Tract 840, Queens County, New York",4358,4358,4358,4358,4358,4358,4358,4358,4358,4358,4358,4358,56.1,37.5,22.1,0.2,0.1,47,81,4,18.6
36081008700,4008700,4470,67.2,1,3,4470,371,1793,0,75,0,0,2218,5089,4450,2485,2650,2335,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4470,3542,928,1459,0,1459,3.06,-,3.06,1459,933,105,421,4470,517,630,3234,394,26542,46.2,1459,674.058,1459,1249,181,19,10,0,477,"Census Tract 87, Queens County, New York",2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,64.6,52.3,27.9,0.2,0.1,63,81,4,12.3
36081009400,4009400,2810,52.5,1,2,2810,189,221,0,1371,0,101,866,2717,2505,1465,1300,665,0,55,25,0,0,0,0,0,0,0,0,0,0,0,15,0,0,435,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810,1219,1591,774,444,330,3.63,3.77,3.44,774,618,28,128,2810,237,331,2163,322,58030,22.6,774,174.924,774,756,5,7,6,0,344,"Census Tract 94, Queens County, New York",1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,48.4,35.3,22.1,0.4,0.4,39,81,4,13.1
36081010100,4010100,2461,68.3,1,0,2461,1873,84,0,223,0,0,213,2490,2345,1075,1525,305,0,0,110,0,0,0,510,0,0,275,0,0,0,0,35,0,0,80,0,0,0,0,0,105,0,55,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2461,1598,863,1041,306,735,2.36,2.48,2.32,1041,868,38,135,2461,126,172,1905,307,75903,12,1041,124.92,1041,913,11,94,23,0,495,"Census Tract 101, Queens County, New York",1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,60.1,48.1,43.4,0,0,54,81,4,12
36081029500,4029500,3537,81.2,0,0,3537,1337,53,0,1065,0,66,939,3451,3345,1145,2800,1125,0,0,0,60,30,0,0,0,75,50,0,0,0,0,55,65,0,235,0,75,0,0,0,345,0,0,0,70,0,0,165,355,0,0,0,0,0,0,0,0,95,3537,1700,1837,1602,959,643,2.21,2.05,2.44,1602,1362,56,184,3537,135,226,2667,594,68605,13.9,1602,222.678,1602,1318,151,89,44,0,793,"Census Tract 295, Queens County, New York",2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,76.4,65.6,56.1,0.2,0.1,72,81,4,10.8
