"boro_ct201","noise_rate","housing_rate","street_rate"
"1005501",154.138915318744,57.5642245480495,124.88106565176
"1005502",719.53921134249,264.953478068232,429.774036331413
"1005600",552.6791089705,154.425045153522,314.870559903672
"1005700",428.263214670982,71.9165767709457,201.366414958648
"1005800",475.227790432802,216.685649202733,263.097949886105
"1005900",256.989446398815,99.2408813182744,141.640436956119
"1006000",129.017956107293,42.1192640212813,55.1984039015739
"1006100",369.448698315467,114.854517611026,335.183767228178
"1006200",86.7703403200361,49.5830516114492,146.720757268425
"1006300",244.984326018809,120.062695924765,221.473354231975
"1006400",339.307787391842,231.273176761434,174.165636588381
"1006500",687.681393099,256.852628184457,232.989358271525
"1006600",250.596252129472,152.981260647359,124.27597955707
"1006700",436.55008240249,269.730818531405,359.2748580846
"1006800",496.847911741529,326.635145784082,212.897294457578
"1006900",444.726350126858,85.5382384922073,251.177963030083
"1007000",252.620899560365,147.108555968887,177.319355202345
"1007100",315.527721495671,200.036839196906,280.898876404494
"1007200",283.356417359187,155.932594644506,240.535549399815
"1007300",497.345132743363,386.484312148029,319.227674979887
"1007400",525.353090993285,320.213012271359,301.921741143783
"1007500",375.090165905266,157.249338783361,247.896128877134
"1007600",741.765480895916,320.158102766798,534.914361001318
"1007700",517.264498826685,270.197787462286,255.950385517935
"1007800",373.852937671315,128.232630199023,142.29531641044
"1007900",359.522737505628,172.219720846466,339.261593876632
"1008000",306.304630835038,162.172214989771,242.700390552353
"1008100",315.769852118802,258.978501304834,209.394805517584
"1008200",396.382587369712,172.593500919681,297.976701410178
"1008300",458.455522971652,210.166177908113,297.898338220919
"1008400",853.291536050157,440.12539184953,623.197492163009
"1008601",186.783804430863,40.488922841864,144.766997708174
"1008602",0,0,0
"1008603",76.0575119816628,83.5590748072515,86.4763492394249
"1008700",382.297254654465,288.419059640265,255.91669296308
"1008800",319.954454881867,93.6521491602619,157.415314545972
"1008900",285.739313244569,278.906797477225,273.12543798178
"1009000",346.44171000888,89.1792464797666,298.870988202461
"1009100",372.46192893401,372.46192893401,268.083756345178
"1009200",490.586932447398,213.178294573643,353.266888150609
"1009300",180.751708428246,77.2209567198178,164.806378132118
"1009400",0,0,0
"1009500",588.157894736842,405.263157894737,393.092105263158
"1009600",0,0,0
"1009700",443.529862174579,195.826952526799,191.424196018377
"1009800",307.545106615637,303.991252050301,227.856752323674
"1009900",1850.38560411311,616.452442159383,1457.58354755784
"1010000",525.602409638554,372.991967871486,474.899598393574
"1010100",919.354838709677,283.154121863799,525.089605734767
"1010200",0,0,0
"1010300",951.895043731778,154.518950437318,367.34693877551
"1010400",784.679089026915,649.068322981366,800.207039337474
"1010601",168.684532716637,65.9774180383621,75.6359678955244
"1010602",178.871794871795,91.0769230769231,108.307692307692
"1010800",204.226131209205,121.584246044916,125.898882619759
"1010900",0,0,0
"1011000",282.884642209513,223.74110754638,181.475798577207
"1011100",521.640091116173,316.343963553531,286.446469248292
"1011201",302.41935483871,192.540322580645,463.709677419355
"1011202",0,0,0
"1011203",254.104211277659,159.172019985724,256.245538900785
"1011300",0,0,0
"1011401",308.073654390935,355.524079320113,326.487252124646
"1011402",245.306633291615,183.145598664998,251.564455569462
"1011500",651.758575770734,455.058619192358,407.294832826748
"1011600",259.66694891335,158.904882867626,156.082416031612
"1011700",249.405469678954,53.2104637336504,134.958382877527
"1011800",149.766168586746,83.2667959393179,168.358617543059
"1011900",894.642857142857,759.821428571429,985.714285714286
"1012000",82.850667338202,93.9309997481743,269.95718962478
"1012100",330.254851531447,347.790507364975,212.999766191256
"1012200",200.110101844206,151.390035783099,239.471511147812
"1012400",126.639264043844,155.118418477197,132.021922098258
"1012500",986.024273630011,139.389481426995,500.551673409342
"1012600",113.981524972601,103.961171128855,137.388445279474
"1012700",436.200923787529,406.033487297921,412.817551963049
"1012800",102.392344497608,104.306220095694,255.980861244019
"1012900",593.242795627691,335.54157005631,561.278569062604
"1013000",107.270560190703,74.3742550655542,270.798569725864
"1013100",500.710227272727,214.133522727273,435.724431818182
"1013200",163.644948064212,145.797922568461,126.251180358829
"1013300",444.748711340206,402.22293814433,256.443298969072
"1013400",224.628602112046,172.901378199391,194.916771075711
"1013500",306.701030927835,178.138265615525,250.606428138266
"1013600",162.278415015641,171.793534932221,119.330031282586
"1013700",573.327151908515,219.440581053933,357.286354504713
"1013800",234.811957569913,188.604950176792,153.48762455802
"1013900",268.769579777466,433.077670951712,191.746786215837
"1014000",167.797260975298,113.784717778062,186.612056828363
"1014200",173.24069923801,86.5082922456298,229.941730165845
"1014300",0,0,0
"1014401",150.493421052632,77.3026315789474,114.103618421053
"1014402",226.160462702061,217.262346136734,128.132878540709
"1014500",173.042223024179,33.9227715626128,233.670155178636
"1014601",484.791764155358,263.453439401029,171.736078614881
"1014602",209.134615384615,177.884615384615,133.476720647773
"1014700",66.4246823956443,35.5716878402904,108.892921960073
"1014801",154.034229828851,97.4502270345791,253.929444638491
"1014802",266.204358901783,163.458816869516,251.769034814605
"1014900",166.894899007189,83.3618623758987,202.499144128723
"1015001",153.443766346992,76.7218831734961,126.416739319965
"1015002",114.033474342468,59.0399117160199,134.081294831709
"1015100",310.739224656875,72.4777269443776,110.040934264387
"1015200",285.773195876289,53.0584192439863,73.9518900343643
"1015300",173.497854077253,118.776824034335,230.579399141631
"1015400",214.48832642374,127.209251581933,103.425703687541
"1015500",103.529411764706,49.3048128342246,79.144385026738
"1015601",194.013096351731,147.614593077643,93.3582787652011
"1015602",197.563098346388,110.095735422106,127.937336814621
"1015700",209.003813598735,207.329550739466,140.266021765417
"1015801",204.247787610619,129.026548672566,213.097345132743
"1015802",161.386730424387,165.570830842797,188.583383144053
"1015900",144.445599085524,175.724825937857,142.263327444664
"1016001",90.2777777777778,65.4380341880342,222.75641025641
"1016002",116.895560523794,70.9038645800064,215.586074736506
"1016100",212.366009010409,244.05779089638,250.893273263943
"1016200",178.448646325741,92.0713364847443,49.2049849591749
"1016300",210.597826086957,153.683574879227,157.306763285024
"1016400",297.372286600294,110.984168434797,72.6293455198303
"1016500",158.544204935958,161.199625117151,181.974383005311
"1016600",397.840645073117,404.810714773814,110.564438977723
"1016700",221.51127361365,239.33577087142,255.636806825107
